,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average
15,2024-02-08 07:00:00,2420.8,2423.85,2411.98,2421.03,78.98740000,2024-02-08 07:59:59.999,191117.63035700,945,68.25240000,165137.27455900,0,2419.415,1.013368600385969
16,2024-02-08 08:00:00,2421.12,2427.83,2421.12,2425.32,65.71060000,2024-02-08 08:59:59.999,159257.90537700,790,51.84490000,125644.22441700,0,2423.8475,1.0152251468326146
17,2024-02-08 09:00:00,2424.35,2426.63,2420.63,2424.3,57.58270000,2024-02-08 09:59:59.999,139553.01285500,661,48.53840000,117635.11548000,0,2423.9775,1.0152795971514106
18,2024-02-08 10:00:00,2424.25,2428.85,2421.31,2426.43,61.98590000,2024-02-08 10:59:59.999,150317.56946200,798,52.35280000,126955.46256000,0,2425.21,1.0157958280584587
19,2024-02-08 11:00:00,2425.06,2425.98,2416.07,2421.11,68.07870000,2024-02-08 11:59:59.999,164882.17502000,767,62.91400000,152376.53882700,0,2422.0550000000003,1.014474360706137
20,2024-02-08 12:00:00,2420.14,2428.58,2417.22,2420.42,93.29840000,2024-02-08 12:59:59.999,225910.28778400,1078,77.08290000,186609.68055700,0,2421.5899999999997,1.014279596104289
21,2024-02-08 13:00:00,2420.55,2424.36,2422.36,2424.17,106.00540000,2024-02-08 13:59:59.999,256378.75769200,1128,71.72470000,173638.94155100,0,2422.86,1.0148115338340669
22,2024-02-08 14:00:00,2423.63,2436.95,2427.62,2431.61,176.63070000,2024-02-08 14:59:59.999,428831.90690300,1998,139.96140000,339831.38463000,0,2429.9525,1.0177822175730027
23,2024-02-08 15:00:00,2431.22,2462.65,2442.665,2454.11,180.74690000,2024-02-08 15:59:59.999,442092.80920200,2267,146.18700000,357583.80727900,0,2447.66125,1.0251995028267047
24,2024-02-08 16:00:00,2453.51,2455.61,2406.85,2422.29,152.80390000,2024-02-08 16:59:59.999,372716.90454500,1725,128.59780000,313657.58421600,0,2434.5650000000005,1.0197141567687509
25,2024-02-08 17:00:00,2421.0,2436.95,2424.59,2428.18,169.41640000,2024-02-08 17:59:59.999,411058.28367700,1965,135.64650000,329243.37590100,0,2427.68,1.0168303841155855
26,2024-02-08 18:00:00,2428.21,2432.82,2429.175,2430.14,145.66470000,2024-02-08 18:59:59.999,353286.30000100,1694,111.17780000,269834.03301500,0,2430.0862500000003,1.0178382385740719
27,2024-02-08 19:00:00,2430.35,2432.5,2423.07,2427.18,91.19970000,2024-02-08 19:59:59.999,221436.24902800,1044,82.22650000,199651.89118400,0,2428.275,1.0170795990362294
28,2024-02-08 20:00:00,2426.18,2499.85,2421.13,2428.42,126.99310000,2024-02-08 20:59:59.999,308182.84402000,1587,108.70350000,263792.27697100,0,2443.895,1.0236220142638892
29,2024-02-08 21:00:00,2428.42,2430.96,2422.23,2425.74,93.37400000,2024-02-08 21:59:59.999,226558.59463600,1092,78.42260000,190272.01311200,0,2426.8375,1.0164775041649259
30,2024-02-08 22:00:00,2425.33,2425.175,2424.22,2425.02,48.97860000,2024-02-08 22:59:59.999,118887.86915900,562,42.79720000,103880.96262400,0,2424.93625,1.0156811682525324
31,2024-02-08 23:00:00,2423.69,2428.58,2418.5,2420.13,72.94320000,2024-02-08 23:59:59.999,176816.87437300,844,62.03250000,150375.65565500,0,2422.7250000000004,1.0147549892722403
32,2024-02-09 00:00:00,2419.96,2424.0,2396.48,2423.85,63.60270000,2024-02-09 00:59:59.999,154007.07466400,734,55.54910000,134503.52558500,0,2416.0725,1.011968598919999
33,2024-02-09 01:00:00,2423.77,2428.44,2422.16,2424.93,57.97210000,2024-02-09 01:59:59.999,140581.33209500,643,43.80780000,106226.51226000,0,2424.825,1.015634571345101
34,2024-02-09 02:00:00,2424.34,2456.9,2423.66,2456.9,111.13790000,2024-02-09 02:59:59.999,270618.10154400,1250,95.46660000,232414.00989500,0,2440.45,1.0221790808157913
35,2024-02-09 03:00:00,2456.9,2465.47,2442.9,2449.02,241.90330000,2024-02-09 03:59:59.999,593010.14918900,2367,214.24850000,525132.46712700,0,2453.5725,1.0276754216496562
36,2024-02-09 04:00:00,2449.03,2451.82,2442.63,2444.71,122.21340000,2024-02-09 04:59:59.999,299178.91076200,1312,110.21040000,269786.12649200,0,2447.0475,1.0249424344946958
37,2024-02-09 05:00:00,2444.87,2448.84,2448.84,2452.81,111.99840000,2024-02-09 05:59:59.999,274181.22381700,1293,94.88230000,232360.47154800,0,2448.84,1.0256932206211735
38,2024-02-09 06:00:00,2452.97,2450.59,2450.59,2448.21,130.56520000,2024-02-09 06:59:59.999,320081.76062300,1596,103.31320000,253488.19279200,0,2450.59,1.026426205681891
39,2024-02-09 07:00:00,2448.21,2452.4449999999997,2447.93,2456.68,157.17810000,2024-02-09 07:59:59.999,386241.87475100,1905,128.73800000,316417.00265900,0,2451.31625,1.0267303944820885
40,2024-02-09 08:00:00,2456.86,2467.91,2453.38,2467.87,112.00420000,2024-02-09 08:59:59.999,275591.80616100,1282,100.75980000,247919.56364500,0,2461.505,1.0309979382177363
41,2024-02-09 09:00:00,2468.04,2468.685,2468.685,2469.33,143.76990000,2024-02-09 09:59:59.999,355259.22999600,1670,100.67490000,248853.20734000,0,2468.685,1.034005271209708
42,2024-02-09 10:00:00,2469.33,2472.39,2463.88,2471.02,72.08630000,2024-02-09 10:59:59.999,177887.53613000,858,60.17720000,148504.77104000,0,2469.1549999999997,1.0342021300545863
43,2024-02-09 11:00:00,2470.82,2502.48,2466.41,2502.48,110.38060000,2024-02-09 11:59:59.999,273110.27657000,1411,93.33720000,230959.88483600,0,2485.5475,1.0410681058304774
44,2024-02-09 12:00:00,2502.48,2522.29,2499.51,2510.1,143.77750000,2024-02-09 12:59:59.999,361069.05785600,1733,123.95810000,311294.69068500,0,2508.5950000000003,1.050721519080125
45,2024-02-09 13:00:00,2509.88,2521.21,2507.82,2514.23,121.40900000,2024-02-09 13:59:59.999,305426.86452700,1464,103.44520000,260231.68422100,0,2513.285,1.052685919042847
46,2024-02-09 14:00:00,2512.97,2519.66,2487.61,2494.53,155.06100000,2024-02-09 14:59:59.999,388364.02689200,1988,126.62620000,317153.81964800,0,2503.6925,1.048668113788601
47,2024-02-09 15:00:00,2494.54,2496.3050000000003,2496.3050000000003,2498.07,159.31180000,2024-02-09 15:59:59.999,396499.27054200,1960,128.68100000,320370.21323000,0,2496.3050000000003,1.0455738697108585
48,2024-02-09 16:00:00,2497.56,2502.5,2483.23,2487.22,120.55350000,2024-02-09 16:59:59.999,300252.16166700,1438,102.11190000,254321.65876900,0,2492.6274999999996,1.0440335539618364
49,2024-02-09 17:00:00,2485.13,2500.0,2492.115,2499.1,133.27760000,2024-02-09 17:59:59.999,332277.16186600,1592,98.06280000,244598.00257500,0,2494.08625,1.0446445493660201
50,2024-02-09 18:00:00,2498.43,2503.185,2495.57,2507.94,176.42910000,2024-02-09 18:59:59.999,444138.75684900,2190,150.11560000,377991.74096500,0,2501.28125,1.047658165087084
51,2024-02-09 19:00:00,2510.35,2511.01,2482.03,2489.25,154.54040000,2024-02-09 19:59:59.999,384931.00003800,1802,131.88790000,328463.79010200,0,2498.1600000000003,1.0463508338752188
52,2024-02-09 20:00:00,2488.37,2495.06,2483.12,2494.38,124.00210000,2024-02-09 20:59:59.999,308752.40988600,1478,101.23140000,252069.99207500,0,2490.2325,1.0430304115501692
53,2024-02-09 21:00:00,2493.68,2493.87,2484.09,2493.46,119.21690000,2024-02-09 21:59:59.999,296841.48582100,1416,99.03780000,246594.66423600,0,2491.2749999999996,1.0434670612220536
54,2024-02-09 22:00:00,2493.46,2505.73,2487.12,2491.59,97.92340000,2024-02-09 22:59:59.999,244658.61126200,1171,80.44590000,200973.68873200,0,2494.4750000000004,1.0448073767616513
55,2024-02-09 23:00:00,2491.62,2489.21,2485.15,2486.8,112.99110000,2024-02-09 23:59:59.999,282115.63855700,1297,81.06690000,202149.32102300,0,2488.1949999999997,1.042177007515191
56,2024-02-10 00:00:00,2486.97,2496.21,2484.49,2485.01,90.57680000,2024-02-10 00:59:59.999,225601.45452600,1157,72.53330000,180636.02085400,0,2488.17,1.042166536300038
57,2024-02-10 01:00:00,2485.02,2504.82,2483.1,2498.1,128.29060000,2024-02-10 01:59:59.999,319658.08921900,1471,107.44870000,267664.34749800,0,2492.76,1.0440890514021481
58,2024-02-10 02:00:00,2498.15,2506.2,2496.57,2505.7,153.42640000,2024-02-10 02:59:59.999,383972.35030600,1500,65.66790000,164298.24907800,0,2501.6549999999997,1.0478147097536228
59,2024-02-10 03:00:00,2506.0,2514.79,2506.0,2511.52,65.68450000,2024-02-10 03:59:59.999,164890.01281700,786,55.98520000,140540.32490300,0,2509.5775,1.0511330378356416
60,2024-02-10 04:00:00,2511.67,2514.89,2506.25,2506.75,83.86210000,2024-02-10 04:59:59.999,210505.03363300,912,67.20560000,168681.22330500,0,2509.89,1.0512639280250555
