,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,average,normalized_average
0,2024-03-08 02:00:00,3907.36,3916.55,3891.27,3897.27,236.12350000,2024-03-08 02:59:59.999,922361.22900900,3445,140.21950000,547464.66174100,0,3903.1125,1.0
1,2024-03-08 03:00:00,3897.69,3907.89,3891.46,3902.5,182.27190000,2024-03-08 03:59:59.999,711196.78434000,2768,111.04320000,433195.36037600,0,3899.885,0.9991730958305711
2,2024-03-08 04:00:00,3902.5,3910.18,3889.25,3897.04,164.25130000,2024-03-08 04:59:59.999,640971.55962700,2409,83.31380000,324961.50249100,0,3899.7425000000003,0.9991365865062819
3,2024-03-08 05:00:00,3897.11,3904.24,3880.01,3887.99,177.54240000,2024-03-08 05:59:59.999,690670.92797700,2554,116.72960000,453924.51086000,0,3892.3375,0.9972393826721623
4,2024-03-08 06:00:00,3888.0,3906.88,3883.33,3906.88,165.15150000,2024-03-08 06:59:59.999,643084.32929300,2424,106.03510000,412907.88700800,0,3896.2725,0.998247552434115
5,2024-03-08 07:00:00,3907.01,3946.44,3905.41,3931.64,230.05130000,2024-03-08 07:59:59.999,903606.90854600,3330,115.58660000,453497.70271500,0,3922.625,1.0049992153697849
6,2024-03-08 08:00:00,3931.71,3951.88,3911.91,3940.01,187.79400000,2024-03-08 08:59:59.999,737717.75228900,2976,125.63140000,493492.39844600,0,3933.8775,1.0078821709597148
7,2024-03-08 09:00:00,3940.03,3950.68,3930.2,3937.79,182.16760000,2024-03-08 09:59:59.999,717600.60496800,2899,122.99030000,484377.32906200,0,3939.675,1.009367523995273
8,2024-03-08 10:00:00,3937.81,3952.73,3922.58,3947.45,133.73010000,2024-03-08 10:59:59.999,525924.19706000,2443,96.57010000,379749.53197600,0,3940.1425,1.0094873001995202
9,2024-03-08 11:00:00,3947.54,3951.38,3949.0,3950.46,141.17340000,2024-03-08 11:59:59.999,554604.21356000,2440,83.63240000,329698.99500200,0,3949.5950000000003,1.0119090853773751
10,2024-03-08 12:00:00,3950.46,3951.5,3933.67,3945.19,133.05580000,2024-03-08 12:59:59.999,524396.90334800,2431,87.65180000,345401.05355300,0,3945.2050000000004,1.0107843419834812
11,2024-03-08 13:00:00,3946.0,3979.97,3961.46,3976.92,153.16300000,2024-03-08 13:59:59.999,606953.93848400,2878,99.49500000,394206.04479300,0,3966.0875,1.016134559278012
12,2024-03-08 14:00:00,3977.0,4161.59,3958.99,3975.91,200.36430000,2024-03-08 14:59:59.999,795817.72752400,3525,142.26050000,564956.14855300,0,4018.3725,1.0295302787198677
13,2024-03-08 15:00:00,3976.22,3979.99,3909.8,3914.03,151.36800000,2024-03-08 15:59:59.999,598380.93792500,2509,104.65570000,413658.22506000,0,3945.0099999999998,1.0107343818555061
14,2024-03-08 16:00:00,3913.58,3913.59,3827.98,3899.74,153.20350000,2024-03-08 16:59:59.999,594252.70642500,2489,116.02530000,450091.54500600,0,3888.7225,0.9963131987612449
15,2024-03-08 17:00:00,3898.01,3960.06,3894.89,3941.92,178.85030000,2024-03-08 17:59:59.999,701464.02541000,3321,137.27800000,538457.06773400,0,3923.72,1.005279760703797
16,2024-03-08 18:00:00,3943.49,3974.68,3868.72,3923.89,208.48820000,2024-03-08 18:59:59.999,819540.80534900,4970,144.87830000,569330.35229600,0,3927.6949999999997,1.0062981786971295
